CO_REGIAO;NO_REGIAO;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
1;Norte;Estadual;Rural;Capital;189,41;198,9;242,35;239,4;243,19;243,21;13,52;18,72;18,96;18,92;12,16;5,58;2,88;1,11;0,16;2,08;9,87;19,55;23,09;19,86;13,04;6,67;4,29;1,05;0,33;0,16;20,53;16,26;19,69;18,06;14,33;7,16;2,8;1,19;0;18,96;19,88;22,38;18,45;11,03;6,2;2,53;0,29;0,18;0,11;34,73;23,85;18,84;12,94;7,15;1,4;0,9;0,2;0;33,19;24,23;21,34;11,03;7,39;2,13;0,49;0,09;0,11;0;0
1;Norte;Estadual;Rural;Interior;175,72;185,93;224,59;222,93;227,16;229;21,53;21,72;16,49;12,25;8,26;4,86;2,06;0,5;0,18;3,95;16,51;24,18;22,7;15,23;8,83;5,28;2,32;0,88;0,07;0,05;32,46;18,86;19,3;15,3;9,26;3,74;0,86;0,22;0;31,46;22,04;21,82;13,31;6,87;3,23;0,93;0,28;0,06;0;52,01;19,78;14,16;8,97;3,63;1,16;0,25;0,05;0;48,28;22,64;16,03;7,96;3,55;1,21;0,29;0,03;0,01;0;0
1;Norte;Estadual;Rural;Total;179,06;189,09;227,61;225,73;228,34;230,05;19,58;20,99;17,09;13,87;9,21;5,04;2,26;0,65;0,17;3,49;14,9;23,05;22,8;16,36;9,86;5,62;2,8;0,92;0,14;0,08;30,43;18,42;19,36;15,77;10,12;4,32;1,19;0,38;0;29,33;21,67;21,92;14,18;7,58;3,74;1,2;0,28;0,08;0,02;50,74;20,08;14,5;9,26;3,89;1,17;0,3;0,06;0;47,17;22,76;16,42;8,18;3,83;1,28;0,3;0,03;0,02;0;0
1;Norte;Estadual;Total;Capital;208;214,62;251,4;243,97;252,99;249,38;8,92;14,44;18;19,2;15,87;10,99;6,19;2,4;0,58;1,18;5,75;14,36;19,79;19,78;16,38;11,61;6,77;3,11;0,96;0,3;15,31;13,68;18,5;19,89;17,26;10,19;3,8;1,37;0;16,92;18,37;21,45;18,63;13;7,38;2,96;0,97;0,27;0,06;30,95;17,49;17,83;15,5;10,91;5,17;1,75;0,37;0,01;31,89;20,94;19,04;13,45;8,15;4,16;1,64;0,52;0,19;0,03;0
1;Norte;Estadual;Total;Interior;204,27;213,67;243,91;240,45;241,57;241,92;10,34;15,53;18,24;18;15,04;10,43;5,38;2,19;0,64;1,27;6,94;14,44;19,55;18,94;15,92;11,81;6,64;3,06;1,06;0,37;18,75;15,95;19,51;19,5;14,88;7,82;2,72;0,87;0;19,16;18,69;22,08;17,91;11,96;6,51;2,65;0,8;0,19;0,03;39,2;19,43;17,25;12,81;7,27;3,01;0,86;0,16;0,01;37,07;22,51;18,42;11,53;6,29;2,91;0,96;0,24;0,06;0,01;0
1;Norte;Estadual;Total;Total;205,96;214,1;246,91;241,86;245,11;244,23;9,69;15,03;18,13;18,55;15,42;10,68;5,75;2,28;0,61;1,23;6,4;14,4;19,66;19,32;16,13;11,72;6,7;3,08;1,01;0,34;17,38;15,04;19,11;19,65;15,83;8,77;3,15;1,07;0;18,26;18,56;21,83;18,2;12,38;6,86;2,77;0,87;0,22;0,04;36,64;18,83;17,43;13,65;8,4;3,68;1,14;0,22;0,01;35,46;22,03;18,61;12,12;6,87;3,3;1,17;0,33;0,1;0,02;0
1;Norte;Estadual;Urbana;Capital;208,92;215,4;251,75;244,15;253,2;249,52;8,69;14,23;17,95;19,22;16,06;11,26;6,36;2,46;0,6;1,14;5,55;14,1;19,63;19,78;16,54;11,86;6,89;3,21;0,99;0,31;15,11;13,58;18,46;19,96;17,37;10,3;3,84;1,38;0;16,84;18,31;21,42;18,64;13,07;7,43;2,97;0,99;0,27;0,05;30,87;17,35;17,81;15,56;11;5,25;1,77;0,37;0,01;31,86;20,87;18,99;13,5;8,17;4,2;1,66;0,52;0,19;0,03;0
1;Norte;Estadual;Urbana;Interior;208,22;217,51;246,56;242,85;243,51;243,67;8,79;14,67;18,48;18,79;15,98;11,2;5,84;2,42;0,71;0,9;5,61;13,09;19,12;19,45;16,9;12,72;7,24;3,36;1,2;0,42;16,87;15,55;19,54;20,08;15,65;8,38;2,97;0,96;0;17,48;18,23;22,12;18,54;12,66;6,96;2,89;0,88;0,21;0,03;37,47;19,38;17,66;13,33;7,77;3,26;0,94;0,17;0,01;35,55;22,5;18,75;12,01;6,66;3,14;1,05;0,27;0,07;0,01;0
1;Norte;Estadual;Urbana;Total;208,55;216,51;248,75;243,4;246,74;245,62;8,74;14,46;18,23;19;16,02;11,23;6,09;2,44;0,66;1,01;5,58;13,57;19,36;19,61;16,73;12,31;7,08;3,29;1,1;0,37;16,13;14,72;19,08;20,03;16,38;9,19;3,34;1,14;0;17,21;18,27;21,82;18,58;12,84;7,16;2,92;0,93;0,24;0,04;35,27;18,7;17,71;14,07;8,84;3,92;1,22;0,24;0,01;34,32;21,95;18,83;12,51;7,16;3,49;1,25;0,36;0,11;0,02;0
1;Norte;Federal;Rural;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
