CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
11;Rondônia;Estadual;Rural;Capital;209,87;222,75;260;260,67;254,71;258,22;7,01;10,59;14,63;32,82;16,26;11,14;4,63;0;0,57;0;1,16;6,9;20,66;28,65;19,27;10,5;9,94;2,36;0,57;0;9,72;12,14;19,33;19,72;21,73;10,68;4,46;2,22;0;7,73;10,74;21,87;24,46;18,35;11,05;4,41;0,77;0,32;0,3;27,89;19,79;19,38;18,16;11,43;1,82;1,14;0,39;0;19,68;21,56;27,9;14;11,93;3,62;0,95;0,35;0;0;0
11;Rondônia;Estadual;Rural;Interior;211,27;217,28;245,93;246,76;251,52;254,47;8,28;12,57;20,03;16,47;19,22;14,57;4,52;1,58;1,14;0;2,08;9,8;19,34;32,17;16,73;10,33;8,44;0,77;0,33;0;13,93;17,19;22,48;22,2;13,61;7,86;2,28;0,45;0;12,45;15,61;28,72;20,97;13,74;5,83;1,59;1,09;0;0;27,94;19,45;20,91;19,07;8,28;3,61;0,51;0,23;0;25,53;17,97;24,02;19,39;9,28;3,23;0,58;0;0;0;0
11;Rondônia;Estadual;Rural;Total;210,72;219,42;253,07;253,81;252,75;255,91;7,78;11,79;17,92;22,86;18,06;13,23;4,56;0,96;0,91;0;1,72;8,67;19,85;30,8;17,72;10,39;9,03;1,39;0,42;0;11,79;14,63;20,88;20,95;17,73;9,29;3,39;1,35;0;10,06;13,14;25,25;22,74;16,08;8,48;3,02;0,92;0,16;0,15;27,92;19,58;20,32;18,72;9,49;2,92;0,75;0,29;0;23,28;19,35;25,51;17,32;10,3;3,38;0,72;0,14;0;0;0
11;Rondônia;Estadual;Total;Capital;214,27;218,85;258,32;253,53;271,15;269,99;6,44;12,47;18,13;21,33;17,53;12,42;6,66;2,56;0,63;0,38;3,8;11,18;20,04;21,92;18,73;13,48;7,53;2,17;0,62;0,15;10,11;12,13;18,93;21,71;20,54;11,23;3,81;1,54;0;10,45;15,67;21,93;21,33;16,01;9,28;4,11;0,87;0,28;0,08;17,89;14,65;19,15;19,15;16,22;8,69;3,44;0,82;0;18,11;17,16;18,65;19,15;13,88;8,15;3,52;1,08;0,17;0,13;0
11;Rondônia;Estadual;Total;Interior;224;234,66;260,64;260,71;261,72;266,39;4,2;9,1;16,63;19,84;19,87;15,77;8,86;3,62;0,96;0,38;2,15;6,55;13,77;18,89;21,63;17,81;11,3;5,31;1,85;0,37;9,82;11,44;17,31;22,14;20,54;12,35;4,83;1,57;0;8,38;11,8;20,41;21,91;18,91;11,68;5,07;1,49;0,28;0,07;22,93;17,2;19,47;19,15;13,01;6,09;1,78;0,35;0,03;18,24;18,81;21,1;18,19;13,22;7,41;2,41;0,56;0,06;0,01;0
11;Rondônia;Estadual;Total;Total;221,35;230,35;259,94;258,53;264,19;267,34;4,81;10,02;17,04;20,25;19,23;14,86;8,26;3,33;0,87;0,38;2,6;7,81;15,48;19,71;20,84;16,63;10,27;4,46;1,51;0,31;9,91;11,65;17,81;22,01;20,54;12,01;4,52;1,56;0;9,01;12,97;20,87;21,74;18,03;10,95;4,78;1,3;0,28;0,07;21,61;16,53;19,39;19,15;13,85;6,77;2,22;0,47;0,02;18,21;18,37;20,46;18,44;13,39;7,6;2,7;0,69;0,09;0,04;0
11;Rondônia;Estadual;Urbana;Capital;214,68;218,49;258,06;252,44;272,7;271,1;6,38;12,64;18,46;20,27;17,65;12,53;6,85;2,79;0,63;0,42;4,04;11,58;19,99;21,3;18,68;13,75;7,3;2,15;0,63;0,16;10,17;12,12;18,87;22,01;20,36;11,31;3,71;1,44;0;10,87;16,42;21,93;20,85;15,65;9,01;4,06;0,88;0,28;0,05;16,95;14,16;19,12;19,24;16,67;9,34;3,65;0,86;0;17,96;16,74;17,78;19,63;14,07;8,58;3,76;1,15;0,19;0,14;0
11;Rondônia;Estadual;Urbana;Interior;224,66;235,56;261,52;261,54;262,24;267,01;3,99;8,92;16,45;20,01;19,91;15,83;9,09;3,72;0,95;0,4;2,15;6,38;13,48;18,2;21,88;18,19;11,44;5,55;1,92;0,39;9,58;11,1;17,01;22,14;20,96;12,61;4,98;1,63;0;8,14;11,57;19,91;21,97;19,22;12,02;5,28;1,52;0,3;0,08;22,67;17,08;19,4;19,15;13,26;6,22;1,85;0,36;0,03;17,86;18,85;20,95;18,12;13,42;7,62;2,51;0,59;0,06;0,01;0
11;Rondônia;Estadual;Urbana;Total;222,02;231,04;260,53;258,94;264,91;268,05;4,63;9,91;16,98;20,08;19,31;14,96;8,49;3,48;0,87;0,4;2,65;7,76;15,2;19,02;21,04;17,02;10,35;4,65;1,58;0,33;9,74;11,39;17,54;22,1;20,79;12,24;4,62;1,58;0;8,92;12,96;20,49;21,65;18,2;11,16;4,93;1,34;0,29;0,07;21,21;16,34;19,33;19,17;14,13;7,01;2,31;0,48;0,02;17,89;18,31;20,14;18,51;13,59;7,87;2,83;0,73;0,1;0,05;0
11;Rondônia;Federal;Rural;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
