ID;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
Brasil;Estadual;Rural;Capital;203,74;214,92;239,76;240,99;247,29;242,97;4,16;9,4;14,69;19,53;18,98;16,34;10,37;4,77;1,59;0,18;1,75;4,63;13,71;18,7;20,49;18,74;12,15;6,34;2,83;0,66;0;20,83;17,73;19,57;18,25;13,47;7,22;2,26;0,67;0;19,67;16,79;20,61;19,41;14,23;6,77;1,91;0,41;0,2;0;35,53;18,05;17,96;14,15;8,63;4,28;1,11;0,29;0;38,05;19,16;17,33;13,9;6,85;3,2;1,2;0,32;0;0;0
Brasil;Estadual;Rural;Interior;193,72;206,98;243,18;246,85;250,2;248,24;8,29;14,13;16,49;16,9;16,63;12,7;8,66;4,26;1,71;0,23;2,76;9,46;16,14;18,88;18,27;14,85;10,44;5,69;2,45;1,05;0,03;20,72;15,72;17,86;18,39;14,32;8,53;3,57;0,88;0,01;19,16;14,61;17,98;18,15;15,43;9,28;3,77;1,28;0,35;0;33,03;18,6;18,02;14,23;9,19;4,96;1,7;0,27;0;35,22;17,76;17,13;14,07;8,78;4,5;1,86;0,55;0,11;0,03;0
Brasil;Estadual;Rural;Total;195,67;208,52;242,95;246,44;250,09;248,06;7,49;13,21;16,14;17,41;17,09;13,41;8,99;4,36;1,68;0,22;2,56;8,52;15,66;18,84;18,7;15,61;10,78;5,81;2,52;0,97;0,02;20,73;15,86;17,98;18,38;14,26;8,44;3,48;0,87;0,01;19,19;14,76;18,16;18,24;15,35;9,11;3,64;1,22;0,34;0;33,12;18,58;18,02;14,23;9,17;4,93;1,68;0,27;0;35,32;17,81;17,13;14,06;8,71;4,46;1,84;0,54;0,1;0,03;0
Brasil;Estadual;Total;Capital;216,91;230,32;253,75;252,73;271,91;265,5;3;6,75;10,92;15,73;18,83;18,59;14,16;7,82;3,67;0,53;0,86;3,34;8,45;14,59;18,93;19,47;16,32;10,65;5,18;2,15;0,05;16,05;12,58;16,59;18,55;17,28;11,92;5,48;1,52;0,04;14,68;13,68;18,12;19,74;17,59;10,5;4;1,31;0,38;0;20,24;13,16;16,53;18,08;16,14;10,76;4,28;0,79;0,03;22,69;15,08;18,27;18,54;13,34;7,6;3,16;0,98;0,29;0,06;0
Brasil;Estadual;Total;Interior;216,49;229,75;256,7;258,94;270,75;268,25;3,32;7,2;11,25;15,33;18,25;17,9;14,26;7,95;3,94;0,59;0,98;3,76;9;14,56;18,23;19,03;15,95;10,69;5,43;2,3;0,07;14,51;12,18;16,12;18,83;17,81;12,75;6,07;1,68;0,05;12,6;11,95;16,75;19,52;18,85;12,49;5,37;1,9;0,58;0;20,21;14,01;17,3;18,14;15,59;10;3,99;0,75;0,02;21,37;14,64;17,85;18,58;14,06;8,36;3,61;1,15;0,3;0,07;0
Brasil;Estadual;Total;Total;216,64;229,96;256,05;257,59;271;267,66;3,2;7,04;11,13;15,47;18,46;18,15;14,23;7,9;3,84;0,57;0,94;3,61;8,8;14,57;18,48;19,19;16,09;10,67;5,34;2,24;0,07;14,85;12,26;16,23;18,77;17,69;12,57;5,94;1,65;0,04;13,06;12,33;17,05;19,57;18,58;12,05;5,07;1,77;0,54;0;20,22;13,82;17,13;18,12;15,71;10,17;4,05;0,76;0,02;21,65;14,74;17,94;18,57;13,91;8,2;3,52;1,11;0,3;0,07;0
Brasil;Estadual;Urbana;Capital;217,21;230,67;253,92;252,88;272,1;265,67;2,97;6,69;10,84;15,64;18,82;18,65;14,25;7,89;3,72;0,54;0,84;3,31;8,33;14,5;18,9;19,48;16,42;10,75;5,23;2,19;0,06;15,99;12,52;16,55;18,55;17,33;11,97;5,52;1,53;0,04;14,62;13,64;18,09;19,74;17,63;10,54;4,03;1,32;0,39;0;20,13;13,13;16,52;18,11;16,19;10,81;4,3;0,79;0,03;22,57;15,05;18,27;18,57;13,39;7,63;3,18;0,98;0,29;0,06;0
Brasil;Estadual;Urbana;Interior;217,75;231,01;257,35;259,53;272;269,46;3,04;6,82;10,96;15,24;18,34;18,19;14,57;8,15;4,06;0,62;0,88;3,45;8,61;14,32;18,22;19,26;16,26;10,96;5,6;2,36;0,07;14,21;12;16,04;18,85;17,98;12,95;6,2;1,72;0,05;12,29;11,82;16,69;19,59;19,02;12,64;5,44;1,93;0,59;0;19,43;13,73;17,25;18,37;15,97;10,31;4,13;0,78;0,02;20,53;14,46;17,89;18,85;14,38;8,59;3,72;1,19;0,31;0,07;0
Brasil;Estadual;Urbana;Total;217,55;230,88;256,58;258,03;272,02;268,61;3,02;6,77;10,92;15,39;18,52;18,36;14,45;8,05;3,93;0,59;0,87;3,4;8,51;14,39;18,47;19,34;16,32;10,88;5,46;2,3;0,07;14,61;12,12;16,15;18,79;17,83;12,73;6,04;1,68;0,05;12,81;12,23;17;19,62;18,7;12,17;5,13;1,79;0,54;0;19,59;13,59;17,09;18,31;16,02;10,42;4,17;0,78;0,02;20,99;14,59;17,98;18,79;14,16;8,38;3,6;1,14;0,31;0,07;0
Brasil;Federal;Rural;Capital;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
