CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
11;Rondônia;Estadual;Rural;192,8;199,79;245,52;253,88;264,26;264,26;4,51;9,99;18,98;31,97;14,98;10,47;7,34;0;1,76;0;1,86;3,13;21,36;33,86;17,88;9,2;9,09;1,76;1,86;0;0;13,68;19,14;20,38;19,91;17,75;6,16;2,52;0,46;0;8,56;14,86;23,07;24,42;17,26;7,09;3,79;0,71;0,25;0;15,38;20,22;26,48;19,97;8,79;8,23;0,93;0;0;18,77;15,61;24,62;24,35;9,8;2,62;4,23;0;0;0;0
11;Rondônia;Estadual;Total;208,45;223,05;254,11;256,95;275,61;275,7;2,55;7,42;15,42;18,78;20,53;16,11;10,91;5,37;2,31;0,59;0,58;3,62;9,59;18,46;20,76;20,17;14,23;7,61;3,7;1,25;0,03;13,37;13,54;18,7;19,86;17,61;10,85;4,8;1,23;0,03;11,27;13,18;18,57;20,58;19,22;11,46;4,06;1,32;0,34;0;14,99;13,79;18,45;20,71;17,31;10,21;3,9;0,6;0,04;14,94;13,76;19,09;21,19;15,93;9,95;4;0,93;0,15;0,05;0
11;Rondônia;Estadual;Urbana;208,63;223,31;254,33;257,03;275,8;275,89;2,53;7,39;15,38;18,63;20,6;16,18;10,95;5,43;2,32;0,59;0,56;3,63;9,46;18,29;20,79;20,3;14,28;7,67;3,72;1,26;0,03;13,37;13,41;18,66;19,86;17,61;10,96;4,86;1,25;0,03;11,34;13,14;18,45;20,48;19,27;11,57;4,06;1,33;0,35;0;14,98;13,68;18,32;20,72;17,46;10,24;3,95;0,61;0,05;14,88;13,73;19;21,14;16,04;10,07;4;0,95;0,15;0,05;0
11;Rondônia;Federal;Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Federal;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Federal;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Rural;192,62;208,64;246,76;253,83;;;4,85;12,55;19,04;22,08;18,2;12,78;7,1;2,41;0,82;0,17;0,95;5,88;15,58;22,66;22,11;16,38;9,31;4,93;1,5;0,66;0,05;15,54;15,76;20,41;21,24;15,54;8,75;2,26;0,51;0;11,42;14,33;19,78;21,83;17,63;10,93;3,31;0,55;0,22;0;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Total;200,34;214,79;247,84;255,33;;;3,57;10,13;17,17;20,77;19,33;14,43;9,05;3,69;1,52;0,32;0,82;4,61;13,01;20,94;21,92;17,61;11,71;6,28;2,29;0,77;0,04;14,81;15,46;20,39;21,79;15,61;9,03;2,47;0,45;0;10,45;13,33;19,75;23,06;18,15;11,49;2,96;0,56;0,25;0;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Urbana;202,51;216,52;250,6;259,16;;;3,21;9,46;16,65;20,41;19,65;14,9;9,6;4,05;1,71;0,37;0,78;4,26;12,29;20,45;21,87;17,96;12,38;6,66;2,51;0,81;0,04;12,93;14,72;20,34;23,19;15,81;9,74;2,99;0,28;0;7,98;10,78;19,67;26,21;19,48;12,92;2,06;0,59;0,31;0;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Privada;Rural;221,45;233,18;272,39;268,08;282;280,93;1,41;2,82;11,27;11,27;29,58;22,54;11,27;5,63;2,82;1,41;0;0;5,63;14,08;22,54;23,94;19,72;8,45;5,63;0;0;8,26;8,16;9,14;19,47;33,3;10,89;8,83;1,96;0;6,2;8,26;15,02;25,66;19,05;19,93;3,92;1,96;0;0;0;18,18;27,27;31,82;9,09;9,09;4,55;0;0;0;18,18;27,27;27,27;13,64;13,64;0;0;0;0;0
