ANO_SAEB;CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_2_LP;MEDIA_2_MT;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_9_CH;MEDIA_9_CN;MEDIA_12_LP;MEDIA_12_MT;MEDIA_13_LP;MEDIA_13_MT;MEDIA_14_LP;MEDIA_14_MT;nivel_0_LP2;nivel_1_LP2;nivel_2_LP2;nivel_3_LP2;nivel_4_LP2;nivel_5_LP2;nivel_6_LP2;nivel_7_LP2;nivel_8_LP2;nivel_0_MT2;nivel_1_MT2;nivel_2_MT2;nivel_3_MT2;nivel_4_MT2;nivel_5_MT2;nivel_6_MT2;nivel_7_MT2;nivel_8_MT2;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_CH9;nivel_1_CH9;nivel_2_CH9;nivel_3_CH9;nivel_4_CH9;nivel_5_CH9;nivel_6_CH9;nivel_7_CH9;nivel_8_CH9;nivel_9_CH9;nivel_0_CN9;nivel_1_CN9;nivel_2_CN9;nivel_3_CN9;nivel_4_CN9;nivel_5_CN9;nivel_6_CN9;nivel_7_CN9;nivel_8_CN9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12;nivel_0_LP13;nivel_1_LP13;nivel_2_LP13;nivel_3_LP13;nivel_4_LP13;nivel_5_LP13;nivel_6_LP13;nivel_7_LP13;nivel_8_LP13;nivel_0_MT13;nivel_1_MT13;nivel_2_MT13;nivel_3_MT13;nivel_4_MT13;nivel_5_MT13;nivel_6_MT13;nivel_7_MT13;nivel_8_MT13;nivel_9_MT13;nivel_10_MT13;nivel_0_LP14;nivel_1_LP14;nivel_2_LP14;nivel_3_LP14;nivel_4_LP14;nivel_5_LP14;nivel_6_LP14;nivel_7_LP14;nivel_8_LP14;nivel_0_MT14;nivel_1_MT14;nivel_2_MT14;nivel_3_MT14;nivel_4_MT14;nivel_5_MT14;nivel_6_MT14;nivel_7_MT14;nivel_8_MT14;nivel_9_MT14;nivel_10_MT14
Edição do Saeb;Código do estado;Estado;Dependência Administrativa;Localização;Área ;"Média 
2º Ano 
Língua Portuguesa";"Média 
2º Ano
Matemática";"Média 
5º Ano 
Língua Portuguesa";"Média 
5º Ano Matemática";"Média 
9º Ano 
Língua Portuguesa";"Média 
9º Ano
 Matemática";"Média 
9º Ano
 Ciências Humanas";"Média 
9º Ano
 Ciências da Natureza";"Média 
Ensino Médio Tradicional
Língua Portuguesa";"Média 
Ensino Médio Tradicional Matemática";"Média 
Ensino Médio Integrado Língua Portuguesa";"Média 
Ensino Médio Integrado Matemática";"Média 
Ensino Médio Tradicional + Integrado Língua Portuguesa";"Média 
Ensino Médio Tradicional + Integrado Matemática";"Nível 0 
Língua Portuguesa 2º Ano";"Nível 1 
Língua Portuguesa 2º Ano";"Nível 2 
Língua Portuguesa 
2º Ano";"Nível 3 
Língua Portuguesa 
2º Ano";"Nível 4 
Língua Portuguesa 
2º Ano";"Nível 5 
Língua Portuguesa 
2º Ano";"Nível 6 
Língua Portuguesa 
2º Ano";"Nível 7 
Língua Portuguesa 
2º Ano";"Nível 8 
Língua Portuguesa 
2º Ano";"Nível 0
 Matemática
 2º Ano";"Nível 1
 Matemática
 2º Ano";"Nível 2
 Matemática
 2º Ano";"Nível 3
 Matemática
 2º Ano";"Nível 4
 Matemática
 2º Ano";"Nível 5
 Matemática
 2º Ano";"Nível 6
 Matemática
 2º Ano";"Nível 7
 Matemática
 2º Ano";"Nível 8
 Matemática
 2º Ano";"Nível 0 
Língua Portuguesa 
5º Ano";"Nível 1 
Língua Portuguesa 
5º Ano";"Nível 2
Língua Portuguesa 
5º Ano";"Nível 3 
Língua Portuguesa 
5º Ano";"Nível 4 
Língua Portuguesa 
5º Ano";"Nível 5 
Língua Portuguesa 
5º Ano";"Nível 6
Língua Portuguesa 
5º Ano";"Nível 7 
Língua Portuguesa 
5º Ano";"Nível 8
Língua Portuguesa 
5º Ano";"Nível 9 
Língua Portuguesa 
5º Ano";"Nível 0
Matemática 
5º Ano";"Nível 1
Matemática 
5º Ano";"Nível 2
Matemática 
5º Ano";"Nível 3
Matemática 
5º Ano";"Nível 4 Matemática 
5º Ano";"Nível 5 Matemática 
5º Ano";"Nível 6
Matemática 
5º Ano";"Nível 7
Matemática 
5º Ano";"Nível 8
Matemática 
5º Ano";"Nível 9
Matemática 
5º Ano";"Nível 10
Matemática 
5º Ano";"Nível 0 
Língua Portuguesa 
9º Ano";"Nível 1 
Língua Portuguesa 
9º Ano";"Nível 2 
Língua Portuguesa 
9º Ano";"Nível 3 
Língua Portuguesa 
9º Ano";"Nível 4 
Língua Portuguesa 
9º Ano";"Nível 5 
Língua Portuguesa 
9º Ano";"Nível 6 
Língua Portuguesa 
9º Ano";"Nível 7 
Língua Portuguesa 
9º Ano";"Nível 8 
Língua Portuguesa 
9º Ano";"Nível 0
Matemática 
9º Ano";"Nível 1
Matemática 
9º Ano";"Nível 2
Matemática 
9º Ano";"Nível 3 Matemática 
9º Ano";Nível 4 Matemática 9º Ano;"Nível 5
Matemática 
9º Ano";"Nível 6
Matemática 
9º Ano";"Nível 7
Matemática 
9º Ano";"Nível 8
Matemática 
9º Ano";"Nível 9
Matemática 
9º Ano";"Nível 0
Ciências Humanas 
9º Ano";"Nível 1
Ciências Humanas 
9º Ano";"Nível 2
Ciências Humanas 
9º Ano";"Nível 3
Ciências Humanas 
9º Ano";"Nível 4
Ciências Humanas 
9º Ano";"Nível 5
Ciências Humanas 
9º Ano";"Nível 6
Ciências Humanas 
9º Ano";"Nível 7
Ciências Humanas 
9º Ano";"Nível 8
Ciências Humanas 
9º Ano";"Nível 9
Ciências Humanas 
9º Ano";"Nível 0
Ciências da Natureza 
9º Ano";"Nível 1
Ciências da Natureza
9º Ano";"Nível 2
Ciências da Natureza 
9º Ano";"Nível 3
Ciências da Natureza 
9º Ano";"Nível 4
Ciências da Natureza 
9º Ano";"Nível 5
Ciências da Natureza 
9º Ano";"Nível 6
Ciências da Natureza 
9º Ano";"Nível 7
Ciências da Natureza 
9º Ano";"Nível 8
Ciências da Natureza 
9º Ano";"Nível 0 
Ensino Médio Tradicional 
Língua Portuguesa";"Nível 1 
Ensino Médio Tradicional
Língua Portuguesa";"Nível 2 
Ensino Médio Tradicional
Língua Portuguesa";"Nível 3 
Ensino Médio Tradicional
Língua Portuguesa";"Nível 4 
Ensino Médio Tradicional 
Língua Portuguesa";"Nível 5 
Ensino Médio Tradicional 
Língua Portuguesa";"Nível 6 
Ensino Médio Tradicional 
Língua Portuguesa";"Nível 7 
Ensino Médio Tradicional 
Língua Portuguesa";"Nível 8 
Ensino Médio Tradicional 
Língua Portuguesa";"Nível 0 
Ensino Médio 
Tradicional 
Matemática";"Nível 1 
Ensino Médio 
Tradicional 
Matemática";"Nível 2
Ensino Médio Tradicional 
Matemática";"Nível 3 Ensino Médio Tradicional 
Matemática";"Nível 4 
Ensino Médio Tradicional
Matemática";"Nível 5 
Ensino Médio Tradicional 
Matemática";"Nível 6 
Ensino Médio Tradicional 
Matemática";"Nível 7 
Ensino Médio Tradicional 
Matemática";"Nível 8 
Ensino Médio Tradicional 
Matemática";"Nível 9 
Ensino Médio Tradicional 
Matemática";"Nível 10
Ensino Médio Tradicional 
Matemática";"Nível 0 
Ensino Médio Integrado 
Língua Portuguesa";"Nível 1 
Ensino Médio Integrado 
Língua Portuguesa";"Nível 2 
Ensino Médio  Integrado 
Língua Portuguesa";"Nível 3 
Ensino Médio  Integrado 
Língua Portuguesa";"Nível 4 
Ensino Médio  Integrado 
Língua Portuguesa";"Nível 5 
Ensino Médio  Integrado 
Língua Portuguesa";"Nível 6 
Ensino Médio  Integrado 
Língua Portuguesa";"Nível 7 
Ensino Médio  Integrado 
Língua Portuguesa";"Nível 8 
Ensino Médio  Integrado 
Língua Portuguesa";"Nível 0 
Ensino Médio  Integrado 
Matemática";"Nível 1 
Ensino Médio  Integrado 
Matemática";"Nível 2 
Ensino Médio  Integrado 
Matemática";"Nível 3
Ensino Médio  Integrado 
Matemática";"Nível 4 
Ensino Médio  Integrado 
Matemática";"Nível 5 
Ensino Médio  Integrado 
Matemática";"Nível 6 
Ensino Médio  Integrado 
Matemática";"Nível 7 
Ensino Médio  Integrado 
Matemática";"Nível 8 
Ensino Médio  Integrado 
Matemática";"Nível 9 
Ensino Médio  Integrado 
Matemática";"Nível 10 
Ensino Médio  Integrado 
Matemática";"Nível 0
Ensino Médio Tradicional + Integrado 
Língua Portuguesa";"Nível 1 
Ensino Médio Tradicional + Integrado 
Língua Portuguesa";"Nível 2 
Ensino Médio Tradicional + Integrado 
Língua Portuguesa";"Nível 3 
Ensino Médio Tradicional + Integrado 
Língua Portuguesa";"Nível 4 
Ensino Médio Tradicional + Integrado 
Língua Portuguesa";"Nível 5 
Ensino Médio Tradicional + Integrado 
Língua Portuguesa";"Nível 6 
Ensino Médio Tradicional + Integrado 
Língua Portuguesa";"Nível 7 
Ensino Médio Tradicional + Integrado 
Língua Portuguesa";"Nível 8 
Ensino Médio Tradicional + Integrado 
Língua Portuguesa";"Nível 0 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 1 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 2 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 3 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 4 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 5 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 6 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 7 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 8 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 9 
Ensino Médio Tradicional + Integrado 
Matemática";"Nível 10 
Ensino Médio Tradicional + Integrado 
Matemática"
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Total;Total;695,32;729,51;200,76;207,33;250,53;247,12;238,69;239,19;274,24;267,31;298,56;287,84;275,41;268,3;28,41;13,8;13,7;12;11,46;7,81;7,47;3,76;1,6;6,54;12,23;9,76;19,55;17,16;13,91;11,12;6,41;3,32;6,32;12,36;14,8;16,53;16,95;14,96;10,37;5,01;2,5;0,21;2,13;7,67;15,94;20,64;19,99;16,12;9,56;4,94;2,37;0,61;0,03;16,84;13,98;17,9;18,68;16,41;10,21;4,74;1,2;0,05;17,02;15,34;18,99;19,6;16,62;8,43;2,75;1,02;0,23;0;21,42;20,53;20,1;16,7;10,82;6,63;2,65;1,01;0,11;0,03;23,1;17,89;18,71;16,76;12,82;7,13;2,42;1,07;0,11;16,11;15,05;18,23;19,76;16,21;10,02;3,74;0,84;0,03;18,41;17,08;21,12;19,63;13,03;6,21;3,1;1,01;0,41;0;0;2,29;6,07;23,84;20,47;20,68;16,86;8,86;0,95;0;5,49;15,18;18;23,68;17,54;12,87;6,29;0;0;0,95;0;15,45;14,62;18,5;19,8;16,43;10,35;3,98;0,84;0,03;17,79;16,99;20,97;19,82;13,24;6,53;3,25;0,97;0,39;0,05;0
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Total;Capital;686,73;731,16;214,96;220;261,3;255,74;251,22;248,63;283,33;274,48;;;283,33;274,48;33,69;18,98;11,05;8,35;11,07;7,26;3,27;4,49;1,84;3,96;13,26;8,89;21,93;17,26;14,43;9,11;7,99;3,17;3,08;7,36;11,9;15,57;18,74;18,68;13,75;6,64;3,95;0,32;1,25;4,59;10,95;18,41;20,5;19,18;12,6;7,69;3,7;1,05;0,07;11,98;11,07;15,76;19,63;19,37;13,45;6,74;1,92;0,08;12,19;13,9;18,53;20,54;17,5;11,04;4,11;1,77;0,41;0;14,28;16,21;20,5;19,53;13,95;8,72;4,58;1,91;0,25;0,07;18,15;15,51;17,59;19;14,53;9,27;4,18;1,51;0,26;12,11;12,78;16,23;20,52;19,07;12,37;5,57;1,32;0,03;14,99;15,73;19,71;20,42;15,03;7,65;4,24;1,54;0,69;0;0;;;;;;;;;;;;;;;;;;;;;12,11;12,78;16,23;20,52;19,07;12,37;5,57;1,32;0,03;14,99;15,73;19,71;20,42;15,03;7,65;4,24;1,54;0,69;0;0
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Total;Interior;702,75;728,08;188,59;196,47;242,4;240,62;229,2;232,1;265,07;260,08;298,56;287,84;268,14;262,62;23,83;9,32;15,99;15,16;11,8;8,28;11,1;3,12;1,4;8,78;11,35;10,52;17,49;17,07;13,46;12,86;5,04;3,45;9,1;16,65;17,28;17,34;15,42;11,77;7,47;3,62;1,25;0,11;2,88;10,3;20,21;22,56;19,55;13,51;6,95;2,58;1,24;0,23;0;20,5;16,17;19,52;17,96;14,17;7,76;3,23;0,66;0,03;20,67;16,43;19,34;18,9;15,94;6,45;1,73;0,46;0,09;0;26,82;23,8;19,79;14,56;8,46;5,04;1,19;0,33;0;0;26,82;19,68;19,55;15,07;11,54;5,52;1,09;0,74;0;20,15;17,35;20,24;19;13,34;7,66;1,89;0,34;0,03;21,86;18,45;22,54;18,84;11;4,76;1,94;0,49;0,12;0;0;2,29;6,07;23,84;20,47;20,68;16,86;8,86;0,95;0;5,49;15,18;18;23,68;17,54;12,87;6,29;0;0;0,95;0;18,51;16,31;20,57;19,13;14,01;8,5;2,53;0,4;0,03;20,36;18,15;22,12;19,28;11,6;5,5;2,34;0,44;0,11;0,09;0
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;697,15;732,11;205,42;211,35;255,45;251,87;243,45;243,38;275,99;268,9;301,83;288,1;277,18;269,79;27,8;13,83;13,12;11,58;11,96;8,13;7,7;3,98;1,89;5,67;12,03;8,77;19,39;17,26;14,84;11,86;6,65;3,53;4,87;10,66;14,11;16,76;17,49;16,16;11,31;5,52;2,87;0,25;1,79;6,29;14,2;20,32;20,64;17,27;10,43;5,63;2,69;0,71;0,04;14,44;12,89;17,04;18,8;18,06;11,57;5,62;1,52;0,06;13,93;14,84;18,7;20,04;17,9;9,75;3,27;1,27;0,29;0;18,16;18,74;20,89;18,43;11,74;7,15;3,41;1,3;0,14;0,04;20,4;16,79;19;17,71;13,62;8,06;2,96;1,31;0,14;15,49;14,35;18,09;19,66;16,86;10,56;4,04;0,91;0,03;17,76;16,4;21;19,8;13,62;6,58;3,3;1,1;0,44;0;0;0;5,56;24,33;20,53;22,06;16,45;10;1,07;0;4,91;15,85;19,03;22,87;17,23;11,95;7,1;0;0;1,07;0;14,77;13,94;18,38;19,7;17,1;10,83;4,32;0,92;0,03;17,16;16,38;20,91;19,94;13,78;6,83;3,47;1,05;0,42;0,05;0
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;685,66;729,82;216,43;221,58;262,65;257,13;253;250,28;283,92;275,05;;;283,92;275,05;34,77;19,05;10,84;7,86;10,59;7,52;3,09;4,3;1,97;4,24;13,75;9,13;22,35;16,89;14,02;8,62;8,34;2,65;2,78;6,94;11,89;15,29;18,46;19,03;14,13;6,96;4,18;0,35;1,17;4,33;10,44;17,92;20,65;19,2;12,99;8,14;3,95;1,13;0,07;11,66;10,95;15,29;18,98;19,83;13,95;7,2;2,07;0,08;11,75;13,37;18,39;20,24;18,14;11,4;4,36;1,91;0,45;0;13,93;15,06;19,92;20,24;14,39;9,11;4,94;2,06;0,27;0,08;16,79;15,87;17,63;19,08;14,47;9,74;4,51;1,63;0,28;11,96;12,42;16,31;20,4;19,24;12,54;5,74;1,36;0,04;14,8;15,54;19,64;20,42;15,14;7,83;4,33;1,58;0,72;0;0;;;;;;;;;;;;;;;;;;;;;11,96;12,42;16,31;20,4;19,24;12,54;5,74;1,36;0,04;14,8;15,54;19,64;20,42;15,14;7,83;4,33;1,58;0,72;0;0
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;709,1;734,51;194,12;200,85;248,11;246,51;233,35;236,16;266,99;261,92;301,83;288,1;270,26;264,38;20,55;8,4;15,48;15,45;13,39;8,77;12,5;3,65;1,8;7,16;10,25;8,4;16,32;17,63;15,68;15,24;4,89;4,44;7;14,48;16,38;18,27;16,5;13,21;8,42;4,05;1,53;0,15;2,42;8,3;18,05;22,8;20,63;15,28;7,8;3,06;1,41;0,27;0;17,27;14,86;18,84;18,62;16,26;9,14;4,01;0,97;0,04;16,14;16,34;19,02;19,84;17,67;8,08;2,17;0,61;0,13;0;22,63;22,64;21,91;16,52;8,94;5,07;1,8;0,5;0;0;24,17;17,75;20,42;16,28;12,74;6,31;1,34;0,99;0;19,49;16,54;20,12;18,82;14,16;8,32;2,12;0,4;0,03;21,11;17,38;22,53;19,09;11,89;5,17;2,13;0,56;0,14;0;0;0;5,56;24,33;20,53;22,06;16,45;10;1,07;0;4,91;15,85;19,03;22,87;17,23;11,95;7,1;0;0;1,07;0;17,66;15,51;20,51;18,98;14,9;9,08;2,86;0,46;0,03;19,59;17,24;22,21;19,44;12,39;5,8;2,59;0,51;0,12;0,1;0
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Rural;Total;685,06;714,93;174,92;185,06;232,06;229,3;222,06;224,57;254,85;249,69;273,24;285,82;256,05;252,04;31,8;13,62;16,97;14,34;8,66;5,98;6,13;2,5;0;11,41;13,36;15,33;20,43;16,61;8,73;6,95;5,05;2,14;14,38;21,78;18,63;15,22;13,97;8,32;5,13;2,18;0,41;0;3,99;15,33;25,6;22,42;16,37;9,79;4,75;1,1;0,6;0,06;0;25,84;18,07;21,14;18,21;10,2;5,12;1,43;0;0;28,65;17,22;20,06;17,95;11,78;3,45;0,79;0,1;0;0;32,8;26,76;17,34;10,67;7,62;4,81;0;0;0;0;32,53;21,75;17,7;13,42;10,03;3,86;0,52;0,2;0;23,04;22,84;19,75;20,89;9,06;4,05;0,37;0;0;25,69;24,61;22,48;17,81;6,47;2,07;0,87;0;0;0;0;20;10;20;20;10;20;0;0;0;10;10;10;30;20;20;0;0;0;0;0;22,84;22;19,76;20,83;9,12;5,09;0,35;0;0;24,67;23,66;21,67;18,6;7,35;3,24;0,81;0;0;0;0
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Rural;Capital;701,49;749,67;195,39;199,09;244,18;238,14;228,46;227,78;263,68;255,58;;;263,68;255,58;18,81;18,03;13,93;15,09;17,64;3,7;5,63;7,17;0;0;6,56;5,62;16,21;22,27;20,06;15,84;3,09;10,34;6,97;12,9;12,13;19,41;22,47;14,12;8,73;2,37;0,9;0;2,23;8,11;17,69;24,92;18,53;18,83;7,45;1,77;0,47;0;0;16,02;12,63;21,79;27,79;13,64;7,16;0,97;0;0;17,77;20,68;20,29;24,36;9,48;6,54;0,88;0;0;0;18,8;30,83;27,82;10,53;8,27;3,76;0;0;0;0;35,33;11;17;18;15,33;3,33;0;0;0;17,06;24,63;13,79;24,53;13,41;6,59;0;0;0;21,34;21,77;22,02;20,43;11,5;1,54;1,4;0;0;0;0;;;;;;;;;;;;;;;;;;;;;17,06;24,63;13,79;24,53;13,41;6,59;0;0;0;21,34;21,77;22,02;20,43;11,5;1,54;1,4;0;0;0;0
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;680,78;705,88;169,41;181,28;229,94;227,75;221;224,05;252,95;248,42;273,24;285,82;254,53;251,34;35,18;12,47;17,76;14,15;6,32;6,57;6,27;1,29;0;14,39;15,13;17,86;21,53;15,14;5,78;4,63;5,55;0;16,37;24,17;20,37;14,1;11,68;6,75;4,16;2,12;0,28;0;4,46;17,27;27,73;21,74;15,8;7,35;4,02;0,92;0,63;0,08;0;27,56;19,02;21,02;16,53;9,6;4,76;1,51;0;0;30,56;16,62;20,02;16,83;12,18;2,91;0,77;0,12;0;0;35,1;26,1;15,62;10,7;7,51;4,98;0;0;0;0;32,07;23,51;17,82;12,66;9,16;3,95;0,6;0,23;0;24,33;22,45;21,03;20,1;8,12;3,51;0,46;0;0;26,63;25,22;22,58;17,24;5,39;2,19;0,75;0;0;0;0;20;10;20;20;10;20;0;0;0;10;10;10;30;20;20;0;0;0;0;0;23,99;21,48;20,95;20,1;8,27;4,79;0,42;0;0;25,33;24,04;21,6;18,24;6,52;3,58;0,69;0;0;0;0
