ANO_SAEB;ID;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;TX_ALFABETIZADO;MEDIA_2_LP;MEDIA_2_MT
2021;Brasil;Total - Federal, Estadual, Municipal e Privada;Total;Total;43,59;725,9;741,6
2021;Brasil;Total - Federal, Estadual, Municipal e Privada;Total;Capital;48,54;732,32;748,08
2021;Brasil;Total - Federal, Estadual, Municipal e Privada;Total;Interior;42,16;724,04;739,72
2021;Brasil;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;44,4;727,41;742,83
2021;Brasil;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;48,77;732,65;748,34
2021;Brasil;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;43,01;725,75;741,08
2021;Brasil;Total - Federal, Estadual, Municipal e Privada;Rural;Total;34,8;709,45;728,22
2021;Brasil;Total - Federal, Estadual, Municipal e Privada;Rural;Capital;32,97;711,3;731,15
2021;Brasil;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;34,88;709,38;728,1
2021;Brasil;Federal;Total;Total;82,46;768,37;766,41
2021;Brasil;Federal;Total;Capital;86,71;772,21;768,54
2021;Brasil;Federal;Total;Interior;54,9;743,5;752,58
2021;Brasil;Federal;Urbana;Total;82,98;768,71;766,74
2021;Brasil;Federal;Urbana;Capital;86,71;772,21;768,54
2021;Brasil;Federal;Urbana;Interior;56,39;743,74;753,93
2021;Brasil;Federal;Rural;Total;40;741,13;739,11
2021;Brasil;Federal;Rural;Capital;0;;
2021;Brasil;Federal;Rural;Interior;40;741,13;739,11
2021;Brasil;Estadual;Total;Total;43,12;725,08;740,68
2021;Brasil;Estadual;Total;Capital;39,06;720,84;738,24
2021;Brasil;Estadual;Total;Interior;46,01;728,1;742,42
2021;Brasil;Estadual;Urbana;Total;43,24;725,2;740,68
2021;Brasil;Estadual;Urbana;Capital;38,99;720,7;738,39
2021;Brasil;Estadual;Urbana;Interior;46,36;728,5;742,36
2021;Brasil;Estadual;Rural;Total;39,8;721,87;740,6
2021;Brasil;Estadual;Rural;Capital;42,6;728,06;729,89
2021;Brasil;Estadual;Rural;Interior;39,03;720,16;743,54
2021;Brasil;Municipal;Total;Total;34,42;713,9;733,9
2021;Brasil;Municipal;Total;Capital;32,06;711,53;735,62
2021;Brasil;Municipal;Total;Interior;34,85;714,33;733,58
2021;Brasil;Municipal;Urbana;Total;34,5;714,7;734,83
2021;Brasil;Municipal;Urbana;Capital;32,15;711,73;735,76
2021;Brasil;Municipal;Urbana;Interior;34,99;715,32;734,63
2021;Brasil;Municipal;Rural;Total;33,77;707,6;726,64
2021;Brasil;Municipal;Rural;Capital;27,81;702,35;729,19
2021;Brasil;Municipal;Rural;Interior;33,95;707,76;726,57
2021;Brasil;Privada;Total;Total;79,01;772,4;771,7
2021;Brasil;Privada;Total;Capital;84,29;777,1;777,39
2021;Brasil;Privada;Total;Interior;76,16;769,86;768,63
2021;Brasil;Privada;Urbana;Total;79,06;772,43;771,68
2021;Brasil;Privada;Urbana;Capital;84,37;777,18;777,4
2021;Brasil;Privada;Urbana;Interior;76,17;769,84;768,57
2021;Brasil;Privada;Rural;Total;73,35;768,64;773,48
2021;Brasil;Privada;Rural;Capital;50,23;741,02;771,93
2021;Brasil;Privada;Rural;Interior;75,7;771,45;773,64
2021;Brasil;Total - Estadual e Municipal;Total;Total;35,75;715,61;734,94
2021;Brasil;Total - Estadual e Municipal;Total;Capital;34,33;714,55;736,47
2021;Brasil;Total - Estadual e Municipal;Total;Interior;36,09;715,86;734,56
2021;Brasil;Total - Estadual e Municipal;Urbana;Total;35,93;716,42;735,79
2021;Brasil;Total - Estadual e Municipal;Urbana;Capital;34,37;714,65;736,61
2021;Brasil;Total - Estadual e Municipal;Urbana;Interior;36,36;716,91;735,56
2021;Brasil;Total - Estadual e Municipal;Rural;Total;34,1;708,37;727,4
2021;Brasil;Total - Estadual e Municipal;Rural;Capital;32,22;710,02;729,4
2021;Brasil;Total - Estadual e Municipal;Rural;Interior;34,17;708,31;727,32
2021;Brasil;Total - Federal, Estadual e Municipal;Total;Total;35,77;715,64;734,96
2021;Brasil;Total - Federal, Estadual e Municipal;Total;Capital;34,46;714,7;736,55
2021;Brasil;Total - Federal, Estadual e Municipal;Total;Interior;36,1;715,87;734,57
2021;Brasil;Total - Federal, Estadual e Municipal;Urbana;Total;35,96;716,46;735,81
2021;Brasil;Total - Federal, Estadual e Municipal;Urbana;Capital;34,51;714,8;736,7
2021;Brasil;Total - Federal, Estadual e Municipal;Urbana;Interior;36,36;716,91;735,56
2021;Brasil;Total - Federal, Estadual e Municipal;Rural;Total;34,1;708,38;727,4
2021;Brasil;Total - Federal, Estadual e Municipal;Rural;Capital;32,22;710,02;729,4
2021;Brasil;Total - Federal, Estadual e Municipal;Rural;Interior;34,17;708,31;727,32
