ANO_SAEB;CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;TX_ALFABETIZADO;MEDIA_2_LP;MEDIA_2_MT
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Total;Total;23,28;695,32;729,51
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Total;Capital;20,31;686,73;731,16
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Total;Interior;25,85;702,75;728,08
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;24,34;697,15;732,11
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;19,63;685,66;729,82
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;29,24;709,1;734,51
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Rural;Total;17,34;685,06;714,93
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Rural;Capital;29,67;701,49;749,67
2021;12;Acre;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;14,13;680,78;705,88
2021;12;Acre;Federal;Total;Total;50;736,19;741,18
2021;12;Acre;Federal;Total;Capital;50;736,19;741,18
2021;12;Acre;Federal;Total;Interior;0;;
2021;12;Acre;Federal;Urbana;Total;50;736,19;741,18
2021;12;Acre;Federal;Urbana;Capital;50;736,19;741,18
2021;12;Acre;Federal;Urbana;Interior;0;;
2021;12;Acre;Estadual;Total;Total;20,27;687,9;727,01
2021;12;Acre;Estadual;Total;Capital;12,54;676,38;720,51
2021;12;Acre;Estadual;Total;Interior;35,32;710,31;739,66
2021;12;Acre;Estadual;Urbana;Total;18,9;686,68;726,61
2021;12;Acre;Estadual;Urbana;Capital;11,1;674,33;718,14
2021;12;Acre;Estadual;Urbana;Interior;36,47;714,5;745,68
2021;12;Acre;Estadual;Rural;Total;30,51;696,95;730,01
2021;12;Acre;Estadual;Rural;Capital;30,15;701,43;749,44
2021;12;Acre;Estadual;Rural;Interior;30,77;693,66;715,76
2021;12;Acre;Municipal;Total;Total;19,72;692,9;726,37
2021;12;Acre;Municipal;Total;Capital;13,7;674,09;736,45
2021;12;Acre;Municipal;Total;Interior;21,65;698,96;723,13
2021;12;Acre;Municipal;Urbana;Total;21,97;696,34;731,09
2021;12;Acre;Municipal;Urbana;Capital;12,46;671,79;735,3
2021;12;Acre;Municipal;Urbana;Interior;25,67;705,88;729,46
2021;12;Acre;Municipal;Rural;Total;10,55;678,93;707,15
2021;12;Acre;Municipal;Rural;Capital;28,57;701,62;750,2
2021;12;Acre;Municipal;Rural;Interior;8,66;676,55;702,63
2021;12;Acre;Privada;Total;Total;78,61;774,35;777,62
2021;12;Acre;Privada;Total;Capital;79,36;774,33;778,45
2021;12;Acre;Privada;Total;Interior;70,59;774,59;768,62
2021;12;Acre;Privada;Urbana;Total;78,61;774,35;777,62
2021;12;Acre;Privada;Urbana;Capital;79,36;774,33;778,45
2021;12;Acre;Privada;Urbana;Interior;70,59;774,59;768,62
2021;12;Acre;Total - Estadual e Municipal;Total;Total;19,98;690,59;726,67
2021;12;Acre;Total - Estadual e Municipal;Total;Capital;12,89;675,7;725,3
2021;12;Acre;Total - Estadual e Municipal;Total;Interior;25,46;702,11;727,73
2021;12;Acre;Total - Estadual e Municipal;Urbana;Total;20,48;691,65;728,92
2021;12;Acre;Total - Estadual e Municipal;Urbana;Capital;11,51;673,57;723,29
2021;12;Acre;Total - Estadual e Municipal;Urbana;Interior;28,77;708,35;734,12
2021;12;Acre;Total - Estadual e Municipal;Rural;Total;17,34;685,06;714,93
2021;12;Acre;Total - Estadual e Municipal;Rural;Capital;29,67;701,49;749,67
2021;12;Acre;Total - Estadual e Municipal;Rural;Interior;14,13;680,78;705,88
2021;12;Acre;Total - Federal, Estadual e Municipal;Total;Total;20,05;690,71;726,7
2021;12;Acre;Total - Federal, Estadual e Municipal;Total;Capital;13,11;676,05;725,39
2021;12;Acre;Total - Federal, Estadual e Municipal;Total;Interior;25,46;702,11;727,73
2021;12;Acre;Total - Federal, Estadual e Municipal;Urbana;Total;20,57;691,79;728,95
2021;12;Acre;Total - Federal, Estadual e Municipal;Urbana;Capital;11,75;673,96;723,4
