CO_REGIAO;NO_REGIAO;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;MEDIA_13_LP;MEDIA_13_MT;MEDIA_14_LP;MEDIA_14_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LPEMT;nivel_1_LPEMT;nivel_2_LPEMT;nivel_3_LPEMT;nivel_4_LPEMT;nivel_5_LPEMT;nivel_6_LPEMT;nivel_7_LPEMT;nivel_8_LPEMT;nivel_0_MTEMT;nivel_1_MTEMT;nivel_2_MTEMT;nivel_3_MTEMT;nivel_4_MTEMT;nivel_5_MTEMT;nivel_6_MTEMT;nivel_7_MTEMT;nivel_8_MTEMT;nivel_9_MTEMT;nivel_10_MTEMT;nivel_0_LPEMI;nivel_1_LPEMI;nivel_2_LPEMI;nivel_3_LPEMI;nivel_4_LPEMI;nivel_5_LPEMI;nivel_6_LPEMI;nivel_7_LPEMI;nivel_8_LPEMI;nivel_0_MTEMI;nivel_1_MTEMI;nivel_2_MTEMI;nivel_3_MTEMI;nivel_4_MTEMI;nivel_5_MTEMI;nivel_6_MTEMI;nivel_7_MTEMI;nivel_8_MTEMI;nivel_9_MTEMI;nivel_10_MTEMI;nivel_0_LPEM;nivel_1_LPEM;nivel_2_LPEM;nivel_3_LPEM;nivel_4_LPEM;nivel_5_LPEM;nivel_6_LPEM;nivel_7_LPEM;nivel_8_LPEM;nivel_0_MTEM;nivel_1_MTEM;nivel_2_MTEM;nivel_3_MTEM;nivel_4_MTEM;nivel_5_MTEM;nivel_6_MTEM;nivel_7_MTEM;nivel_8_MTEM;nivel_9_MTEM;nivel_10_MTEM
1;Norte;Estadual;Rural;Capital;185,91;194,32;233,44;227,85;248,2;245,79;;;248,2;245,79;7,14;19,03;16,95;20,33;16,72;10,88;4,84;3,05;0,73;0,34;3,82;14,51;17,51;24,63;15,66;11,5;6,68;3,98;0,87;0,61;0,23;23,92;20,7;19,91;17,43;11,08;4,8;1,74;0,42;0;23,93;25,71;21,61;16,29;8,16;3,47;0,59;0,15;0,09;0;33,71;18,56;17,6;16,22;9,55;3,63;0,48;0,25;0;32,35;24;20,84;14,01;6,04;2,64;0,12;0;0;0;0;;;;;;;;;;;;;;;;;;;;;33,71;18,56;17,6;16,22;9,55;3,63;0,48;0,25;0;32,35;24;20,84;14,01;6,04;2,64;0,12;0;0;0;0
1;Norte;Estadual;Rural;Interior;171,22;180,31;223,39;221,97;233,88;237,6;263,95;258,44;234,38;237,95;14,55;25,2;21,42;13,76;10,93;7,39;4,29;1,31;0,65;0,51;8,81;19,86;22,91;19,81;12,85;7,1;3,98;2,79;1,22;0,5;0,17;34,27;20,2;18,09;13,57;8,09;3,94;1,48;0,33;0,03;30,9;23,49;20,84;13,42;6,95;3,05;1,02;0,27;0,04;0,02;45,06;21,33;15,87;10,29;4,79;1,96;0,6;0,09;0;40,59;25,98;17,87;9,94;4,07;1,16;0,28;0,08;0,04;0;0;21,05;16,2;21,71;19,68;13;6,36;1,73;0,26;0;22;21,75;23,92;18,14;8,66;4,21;1,32;0;0;0;0;44,66;21,25;15,97;10,44;4,93;2,03;0,62;0,09;0;40,28;25,91;17,97;10,08;4,15;1,21;0,3;0,08;0,04;0;0
1;Norte;Estadual;Rural;Total;175,56;184,45;224,62;222,69;234,41;237,91;263,95;258,44;234,89;238,24;12,36;23,38;20,1;15,7;12,64;8,42;4,45;1,82;0,67;0,46;7,34;18,28;21,32;21,23;13,68;8,4;4,78;3,14;1,12;0,53;0,19;33;20,27;18,31;14,04;8,46;4,05;1,52;0,34;0,03;30,05;23,76;20,94;13,77;7,1;3,1;0,96;0,25;0,04;0,02;44,63;21,23;15,94;10,51;4,97;2,02;0,6;0,1;0;40,28;25,9;17,98;10,1;4,14;1,21;0,28;0,07;0,04;0;0;21,05;16,2;21,71;19,68;13;6,36;1,73;0,26;0;22;21,75;23,92;18,14;8,66;4,21;1,32;0;0;0;0;44,26;21,15;16,03;10,65;5,1;2,09;0,62;0,1;0;39,99;25,84;18,07;10,23;4,22;1,26;0,29;0,07;0,03;0;0
1;Norte;Estadual;Total;Capital;211,94;219,5;253,79;246,08;267,86;259,38;282,58;267,33;268,28;259,61;4,22;9,99;12,42;15,03;17,18;16,5;12,13;7,51;3,57;1,45;2,09;6,64;11,96;16,94;18,41;15,9;12,57;8,67;4,52;1,74;0,55;15,89;13,41;16,66;18,39;16,72;11,95;5,4;1,5;0,08;16,17;18,29;20,01;18,47;14,01;8;3,48;1,18;0,29;0,09;21,15;15,01;18,19;17,87;14,91;8,93;3,24;0,67;0,03;22,89;21,49;21,88;17,14;9,34;4,45;1,82;0,65;0,28;0,06;0;12,51;11,56;15,73;22,69;19,74;11,81;4,76;1,2;0;15,82;21,59;20,37;21,77;10,86;5,68;2,8;0,61;0,49;0;0;20,9;14,91;18,12;18,01;15,05;9,01;3,29;0,68;0,03;22,68;21,5;21,84;17,27;9,38;4,48;1,85;0,65;0,28;0,06;0
1;Norte;Estadual;Total;Interior;202,2;211,36;243,72;240,85;256,2;253,66;275,42;265,1;256,62;253,91;5,85;12,92;15,28;15,78;16,29;14,44;10,1;5,72;2,57;1,04;3,19;9,34;13,66;18,28;17,79;14,58;10,67;6,68;3,81;1,39;0,62;20,3;16,36;18,61;17,39;14,06;8,73;3,57;0,93;0,05;18,52;19,57;21,1;17,84;12,47;6,82;2,7;0,77;0,16;0,04;28,24;17,85;18,35;16,15;10,92;5,98;2,1;0,4;0,01;26,79;23,15;21,15;15,57;8,11;3,44;1,23;0,41;0,12;0,03;0;13,5;13,92;20,55;21,68;17,81;8,56;3,3;0,59;0,09;15,25;20,82;25,34;21,45;10,34;4,95;1,52;0,23;0,11;0;0;27,92;17,76;18,4;16,28;11,07;6,03;2,12;0,41;0,01;26,53;23,1;21,24;15,7;8,16;3,47;1,24;0,4;0,12;0,02;0
1;Norte;Estadual;Total;Total;207,45;215,74;247,53;242,83;259,78;255,42;278,07;265,93;260,23;255,67;4,97;11,34;13,74;15,37;16,77;15,55;11,2;6,68;3,11;1,26;2,6;7,89;12,74;17,56;18,12;15,29;11,69;7,75;4,19;1,58;0,58;18,63;15,24;17,87;17,77;15,07;9,95;4,26;1,15;0,06;17,63;19,09;20,69;18,08;13,06;7,27;3;0,93;0,21;0,06;26,06;16,97;18,3;16,68;12,15;6,88;2,45;0,48;0,02;25,59;22,64;21,38;16,06;8,49;3,75;1,41;0,48;0,17;0,04;0;13,14;13,04;18,76;22,05;18,52;9,77;3,85;0,81;0,06;15,46;21,1;23,5;21,57;10,53;5,22;1,99;0,37;0,25;0;0;25,75;16,88;18,31;16,81;12,3;6,95;2,48;0,49;0,02;25,34;22,6;21,43;16,19;8,54;3,78;1,42;0,48;0,17;0,03;0
1;Norte;Estadual;Urbana;Capital;213,15;220,67;254,44;246,66;268,25;259,65;282,58;267,33;268,67;259,88;4,09;9,57;12,21;14,78;17,2;16,76;12,47;7,72;3,7;1,5;2,01;6,28;11,71;16,58;18,54;16,1;12,84;8,89;4,69;1,8;0,56;15,63;13,18;16,55;18,42;16,9;12,18;5,52;1,54;0,08;15,93;18,06;19,96;18,54;14,2;8,15;3,57;1,22;0,29;0,09;20,9;14,94;18,21;17,9;15,01;9,04;3,3;0,68;0,03;22,7;21,44;21,91;17,2;9,41;4,48;1,85;0,67;0,28;0,06;0;12,51;11,56;15,73;22,69;19,74;11,81;4,76;1,2;0;15,82;21,59;20,37;21,77;10,86;5,68;2,8;0,61;0,49;0;0;20,65;14,84;18,13;18,04;15,15;9,12;3,34;0,69;0,03;22,5;21,45;21,86;17,34;9,45;4,52;1,88;0,66;0,29;0,06;0
1;Norte;Estadual;Urbana;Interior;206,57;215,74;246,87;243,78;262,61;258,27;277,73;266,44;262,96;258,46;4,63;11,19;14,42;16,06;17,04;15,43;10,92;6,34;2,84;1,12;2,4;7,86;12,35;18,06;18,48;15,63;11,62;7,22;4,17;1,52;0,68;18,14;15,77;18,69;17,99;14,99;9,47;3,89;1,02;0,05;16,6;18,96;21,14;18,52;13,33;7,41;2,97;0,85;0,18;0,04;23,41;16,85;19,06;17,84;12,68;7,13;2,52;0,49;0,02;22,82;22,34;22,1;17,19;9,28;4,1;1,5;0,5;0,14;0,03;0;11,98;13,46;20,32;22,08;18,77;9,01;3,62;0,65;0,11;13,89;20,63;25,62;22,12;10,68;5,1;1,56;0,27;0,13;0;0;23,14;16,77;19,09;17,94;12,83;7,17;2,55;0,49;0,02;22,61;22,3;22,18;17,31;9,31;4,12;1,5;0,5;0,14;0,03;0
1;Norte;Estadual;Urbana;Total;210,26;218,5;249,94;244,95;264,63;258,76;279,74;266,81;265,02;258,97;4,32;10,28;13,18;15,34;17,13;16,18;11,79;7,11;3,32;1,33;2,18;6,97;11,99;17,23;18,51;15,9;12,3;8,16;4,46;1,67;0,61;17,12;14,72;17,82;18,16;15,76;10,57;4,55;1,23;0,06;16,33;18,6;20,66;18,53;13,68;7,71;3,21;1;0,23;0,06;22,51;16,16;18,75;17,86;13,52;7,81;2,8;0,56;0,02;22,78;22,02;22,03;17,19;9,32;4,23;1,63;0,56;0,19;0,04;0;12,2;12,67;18,42;22,33;19,18;10,17;4,09;0,88;0,06;14,69;21,03;23,45;21,98;10,75;5,34;2,07;0,41;0,28;0;0;22,24;16,07;18,74;17,98;13,67;7,87;2,83;0,57;0,02;22,57;21,99;22,06;17,32;9,36;4,26;1,64;0,56;0,2;0,04;0
1;Norte;Federal;Rural;Capital;;;;;;;280,54;285,46;280,54;285,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,67;5,48;16,44;23,67;26,33;9,44;1,98;0;0;11,19;12,94;13,16;19,72;24,12;15,14;1,75;1,98;0;0;0;16,67;5,48;16,44;23,67;26,33;9,44;1,98;0;0;11,19;12,94;13,16;19,72;24,12;15,14;1,75;1,98;0;0;0
