CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;MEDIA_13_LP;MEDIA_13_MT;MEDIA_14_LP;MEDIA_14_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LPEMT;nivel_1_LPEMT;nivel_2_LPEMT;nivel_3_LPEMT;nivel_4_LPEMT;nivel_5_LPEMT;nivel_6_LPEMT;nivel_7_LPEMT;nivel_8_LPEMT;nivel_0_MTEMT;nivel_1_MTEMT;nivel_2_MTEMT;nivel_3_MTEMT;nivel_4_MTEMT;nivel_5_MTEMT;nivel_6_MTEMT;nivel_7_MTEMT;nivel_8_MTEMT;nivel_9_MTEMT;nivel_10_MTEMT;nivel_0_LPEMI;nivel_1_LPEMI;nivel_2_LPEMI;nivel_3_LPEMI;nivel_4_LPEMI;nivel_5_LPEMI;nivel_6_LPEMI;nivel_7_LPEMI;nivel_8_LPEMI;nivel_0_MTEMI;nivel_1_MTEMI;nivel_2_MTEMI;nivel_3_MTEMI;nivel_4_MTEMI;nivel_5_MTEMI;nivel_6_MTEMI;nivel_7_MTEMI;nivel_8_MTEMI;nivel_9_MTEMI;nivel_10_MTEMI;nivel_0_LPEM;nivel_1_LPEM;nivel_2_LPEM;nivel_3_LPEM;nivel_4_LPEM;nivel_5_LPEM;nivel_6_LPEM;nivel_7_LPEM;nivel_8_LPEM;nivel_0_MTEM;nivel_1_MTEM;nivel_2_MTEM;nivel_3_MTEM;nivel_4_MTEM;nivel_5_MTEM;nivel_6_MTEM;nivel_7_MTEM;nivel_8_MTEM;nivel_9_MTEM;nivel_10_MTEM
11;Rondônia;Estadual;Rural;Capital;210,25;217,67;231,47;232,91;258,59;257,42;;;258,59;257,42;4,55;4,55;18,18;9,09;22,73;18,18;22,73;0;0;0;0;9,09;4,55;27,27;4,55;27,27;27,27;0;0;0;0;27,34;20,06;17,99;18,7;7,75;6,38;1,11;0,66;0;23,99;19,5;18,88;19,44;10,6;6,45;1,14;0;0;0;25,11;17,4;18,42;18,38;12,95;6,96;0,8;0;0;17,53;23,05;31,06;17,38;8,05;2,93;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;25,11;17,4;18,42;18,38;12,95;6,96;0,8;0;0;17,53;23,05;31,06;17,38;8,05;2,93;0;0;0;0;0
11;Rondônia;Estadual;Rural;Interior;;;235,78;238,03;257,81;259,49;269,57;272,06;260,1;261,95;;;;;;;;;;;;;;;;;;;;;;25,86;17,05;18,94;16,13;12,58;6,28;3,16;0;0;20,05;19,73;23,25;15,1;13,18;7,42;0,61;0,65;0;0;27,94;17,61;17,88;17,15;11,24;5,81;2,36;0;0;18,32;25,15;21,88;16,44;15,21;2,31;0,7;0;0;0;0;15;17;21,75;24,5;13,25;3,75;4,75;0;0;11,25;8,5;44,5;7,5;17;11,25;0;0;0;0;0;25,41;17,49;18,63;18,59;11,63;5,41;2,82;0;0;16,94;21,9;26,29;14,69;15,56;4,05;0,56;0;0;0;0
11;Rondônia;Estadual;Rural;Total;210,25;217,67;233,73;235,59;258,18;258,49;269,57;272,06;259,45;260,01;4,55;4,55;18,18;9,09;22,73;18,18;22,73;0;0;0;0;9,09;4,55;27,27;4,55;27,27;27,27;0;0;0;0;26,56;18,49;18,49;17,35;10,28;6,33;2,18;0,32;0;21,93;19,62;21,17;17,17;11,95;6,96;0,86;0,34;0;0;26,58;17,51;18,14;17,74;12,06;6,37;1,61;0;0;17,94;24,14;26,3;16,89;11,76;2,61;0,36;0;0;0;0;15;17;21,75;24,5;13,25;3,75;4,75;0;0;11,25;8,5;44,5;7,5;17;11,25;0;0;0;0;0;25,28;17,45;18,54;18,5;12,19;6,07;1,96;0;0;17,19;22,39;28,33;15,84;12,35;3,57;0,32;0;0;0;0
11;Rondônia;Estadual;Total;Capital;213,52;218,65;249,81;241,23;271,75;263,62;;;271,75;263,62;3,88;7,87;12,76;16,41;16,08;18,82;11,64;8,38;2,79;1,38;1,91;5,79;11,5;17,42;18,69;17,66;15,12;7,79;3,15;0,6;0,35;16,38;14,75;18,76;18,84;15,85;10,32;4,04;1,03;0,03;17,13;20,57;21,41;18,62;12,84;6,76;1,89;0,66;0,07;0,04;19,28;13,87;17,67;18,47;15,93;10,11;3,72;0,92;0,03;18,89;21,52;22,48;18,09;10,35;5,36;2,22;0,69;0,34;0,07;0;;;;;;;;;;;;;;;;;;;;;19,28;13,87;17,67;18,47;15,93;10,11;3,72;0,92;0,03;18,89;21,52;22,48;18,09;10,35;5,36;2,22;0,69;0,34;0,07;0
11;Rondônia;Estadual;Total;Interior;206,76;218,58;247,72;248,73;267,02;265,26;269,57;272,06;267,03;265,29;4,32;11,05;13,25;16,85;18,24;15,92;10,55;6,71;2,59;0,52;1,75;7,32;9,8;17,5;19,91;16,93;13,57;7,9;4,16;0,95;0,21;18,81;14,75;17,68;17,79;15,64;9,95;4,22;1,12;0,03;14,79;16,53;20,1;19,14;15,23;9,29;3,58;1,03;0,27;0,04;21,41;15,15;18,26;18,86;14,16;8,16;3,47;0,53;0,01;18,45;19,77;22,32;19,36;11,37;5,53;2,22;0,72;0,22;0,04;0;15;17;21,75;24,5;13,25;3,75;4,75;0;0;11,25;8,5;44,5;7,5;17;11,25;0;0;0;0;0;21,38;15,16;18,28;18,88;14,15;8,14;3,47;0,52;0,01;18,42;19,73;22,4;19,31;11,39;5,55;2,21;0,72;0,22;0,04;0
11;Rondônia;Estadual;Total;Total;208,67;218,6;248,35;246,48;268,42;264,77;269,57;272,06;268,42;264,79;4,2;10,14;13,11;16,73;17,63;16,74;10,86;7,19;2,64;0,76;1,8;6,88;10,28;17,48;19,56;17,14;14,01;7,87;3,88;0,85;0,25;18,08;14,75;18;18,11;15,7;10,06;4,17;1,1;0,03;15,49;17,74;20,49;18,98;14,51;8,53;3,07;0,92;0,21;0,04;20,78;14,77;18,09;18,74;14,68;8,74;3,54;0,64;0,01;18,58;20,29;22,37;18,98;11,07;5,48;2,22;0,71;0,25;0,05;0;15;17;21,75;24,5;13,25;3,75;4,75;0;0;11,25;8,5;44,5;7,5;17;11,25;0;0;0;0;0;20,76;14,78;18,1;18,76;14,68;8,72;3,55;0,64;0,01;18,56;20,26;22,43;18,95;11,08;5,5;2,21;0,71;0,25;0,05;0
11;Rondônia;Estadual;Urbana;Capital;213,61;218,68;250,76;241,66;272,22;263,84;;;272,22;263,84;3,86;7,96;12,61;16,61;15,9;18,84;11,33;8,61;2,87;1,42;1,96;5,7;11,69;17,15;19,08;17,4;14,79;8,01;3,24;0,62;0,36;15,82;14,48;18,8;18,85;16,26;10,52;4,19;1,05;0,04;16,77;20,63;21,54;18,58;12,96;6,77;1,93;0,7;0,08;0,04;19,08;13,75;17,64;18,48;16,03;10,22;3,82;0,96;0,03;18,94;21,47;22,18;18,12;10,43;5,45;2,29;0,71;0,35;0,07;0;;;;;;;;;;;;;;;;;;;;;19,08;13,75;17,64;18,48;16,03;10,22;3,82;0,96;0,03;18,94;21,47;22,18;18,12;10,43;5,45;2,29;0,71;0,35;0,07;0
11;Rondônia;Estadual;Urbana;Interior;206,76;218,58;248;248,98;267,17;265,35;;;267,17;265,35;4,32;11,05;13,25;16,85;18,24;15,92;10,55;6,71;2,59;0,52;1,75;7,32;9,8;17,5;19,91;16,93;13,57;7,9;4,16;0,95;0,21;18,65;14,69;17,65;17,83;15,71;10,03;4,25;1,15;0,04;14,66;16,45;20,02;19,24;15,28;9,34;3,65;1,04;0,28;0,04;21,3;15,11;18,27;18,89;14,2;8,19;3,49;0,53;0,01;18,45;19,69;22,33;19,4;11,31;5,58;2,24;0,73;0,22;0,04;0;;;;;;;;;;;;;;;;;;;;;21,3;15,11;18,27;18,89;14,2;8,19;3,49;0,53;0,01;18,45;19,69;22,33;19,4;11,31;5,58;2,24;0,73;0,22;0,04;0
11;Rondônia;Estadual;Urbana;Total;208,66;218,61;248,81;246,83;268,64;264,91;;;268,64;264,91;4,2;10,19;13,07;16,79;17,59;16,73;10,77;7,24;2,66;0,77;1,81;6,87;10,33;17,4;19,68;17,06;13,91;7,93;3,91;0,86;0,25;17,81;14,63;17,99;18,13;15,87;10,18;4,23;1,12;0,04;15,28;17,68;20,47;19,04;14,6;8,58;3,14;0,94;0,22;0,04;20,65;14,71;18,09;18,77;14,74;8,79;3,58;0,66;0,01;18,59;20,21;22,28;19,03;11,05;5,54;2,26;0,73;0,26;0,05;0;;;;;;;;;;;;;;;;;;;;;20,65;14,71;18,09;18,77;14,74;8,79;3,58;0,66;0,01;18,59;20,21;22,28;19,03;11,05;5,54;2,26;0,73;0,26;0,05;0
11;Rondônia;Federal;Rural;Interior;;;;;;;296,95;289,62;296,95;289,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,28;7,73;13,99;18,54;24,03;17,82;8,09;2,52;0;9,29;9,62;18,92;21,44;16,48;13,44;7,59;2,2;1,02;0;0;7,28;7,73;13,99;18,54;24,03;17,82;8,09;2,52;0;9,29;9,62;18,92;21,44;16,48;13,44;7,59;2,2;1,02;0;0
